#time,accel_x,accel_y,accel_z
51952.473878,-222.061783,-8956.491898,459.657299
51952.474205,-148.041188,-9178.553681,612.876398
51952.474533,-296.082377,-9104.533087,459.657299
51952.474860,-444.123565,-8882.471304,842.705048
51952.475188,-370.102971,-8734.430116,306.438199
51952.475515,-296.082377,-9104.533087,612.876398
51952.475843,-222.061783,-9178.553681,459.657299
51952.476170,-296.082377,-9030.512492,536.266849
51952.476498,-518.144159,-9326.594869,689.485948
51952.476825,-296.082377,-8882.471304,-229.828649
51952.477153,-222.061783,-9030.512492,459.657299
51952.477480,-296.082377,-9030.512492,612.876398
51952.477808,-444.123565,-9030.512492,536.266849
51952.478135,-296.082377,-9252.574275,612.876398
51952.478463,222.061783,-9252.574275,689.485948
51952.478790,-148.041188,-9178.553681,689.485948
51952.479118,-296.082377,-9104.533087,536.266849
51952.479445,-222.061783,-8956.491898,459.657299
51952.479773,0.000000,-9252.574275,383.047749
51952.480100,-148.041188,-8808.450710,229.828649
51952.480428,0.000000,-8882.471304,306.438199
51952.480756,-296.082377,-9252.574275,766.095498
51952.481083,-222.061783,-9104.533087,536.266849
51952.481411,-296.082377,-9030.512492,612.876398
51952.481738,0.000000,-9030.512492,995.924147
51952.482066,-222.061783,-9030.512492,612.876398
51952.482393,-296.082377,-9030.512492,536.266849
51952.482721,-444.123565,-8956.491898,689.485948
51952.483048,-296.082377,-9326.594869,536.266849
51952.483376,0.000000,-9252.574275,995.924147
51952.483703,0.000000,-8956.491898,995.924147
51952.484031,-148.041188,-9252.574275,536.266849
51952.484358,-148.041188,-9104.533087,689.485948
51952.484686,-370.102971,-9030.512492,536.266849
51952.485013,-296.082377,-9178.553681,459.657299
51952.485341,-222.061783,-8956.491898,689.485948
51952.485668,0.000000,-8956.491898,229.828649
51952.485996,0.000000,-9104.533087,689.485948
51952.486323,0.000000,-9326.594869,459.657299
51952.486651,0.000000,-9104.533087,536.266849
51952.486978,-222.061783,-9178.553681,842.705048
51952.487306,-148.041188,-9104.533087,383.047749
51952.487633,-370.102971,-9104.533087,689.485948
51952.487961,-444.123565,-8956.491898,306.438199
51952.488288,-222.061783,-9252.574275,689.485948
51952.488616,0.000000,-8956.491898,689.485948
51952.488943,0.000000,-9326.594869,919.314598
51952.489271,0.000000,-9252.574275,612.876398
51952.489598,-296.082377,-9104.533087,612.876398
51952.489926,-370.102971,-9178.553681,536.266849
51952.490253,-296.082377,-9252.574275,536.266849
51952.490581,0.000000,-9252.574275,612.876398
51952.490908,-222.061783,-8956.491898,766.095498
51952.491236,-370.102971,-9104.533087,689.485948
51952.491563,-222.061783,-8882.471304,612.876398
51952.491891,-296.082377,-9178.553681,536.266849
51952.492218,-222.061783,-9326.594869,612.876398
51952.492546,-518.144159,-9104.533087,536.266849
51952.492873,-296.082377,-9252.574275,612.876398
51952.493201,-148.041188,-9030.512492,306.438199
51952.493528,0.000000,-9326.594869,383.047749
51952.493856,0.000000,-9178.553681,306.438199
51952.494183,0.000000,-9252.574275,383.047749
51952.494511,-222.061783,-9030.512492,459.657299
51952.494838,-148.041188,-9178.553681,766.095498
51952.495166,-296.082377,-9030.512492,612.876398
51952.495494,0.000000,-8586.388927,536.266849
51952.495821,148.041188,-9178.553681,536.266849
51952.496149,-370.102971,-9252.574275,536.266849
51952.496476,-444.123565,-9030.512492,612.876398
51952.496804,-148.041188,-9400.615463,536.266849
51952.497131,-148.041188,-9104.533087,612.876398
51952.497459,-296.082377,-8956.491898,919.314598
51952.497786,-370.102971,-9104.533087,459.657299
51952.498114,-370.102971,-9252.574275,536.266849
51952.498441,-222.061783,-9178.553681,536.266849
51952.498769,-296.082377,-8956.491898,919.314598
51952.499097,0.000000,-8882.471304,842.705048
51952.499424,-444.123565,-9178.553681,612.876398
51952.499752,-222.061783,-8956.491898,536.266849
51952.500079,0.000000,-9030.512492,612.876398
51952.500407,-296.082377,-9178.553681,383.047749
51952.500734,148.041188,-9178.553681,995.924147
51952.501062,-148.041188,-8956.491898,459.657299
51952.501389,-296.082377,-9104.533087,536.266849
51952.501717,-370.102971,-8956.491898,536.266849
51952.502044,-148.041188,-9030.512492,536.266849
51952.502372,-148.041188,-8882.471304,536.266849
51952.502700,0.000000,-9030.512492,-153.219100
51952.503027,0.000000,-9178.553681,229.828649
51952.503355,-222.061783,-9030.512492,383.047749
51952.503682,-296.082377,-9178.553681,612.876398
51952.504010,0.000000,-9252.574275,459.657299
51952.504337,222.061783,-9400.615463,229.828649
51952.504665,-296.082377,-9030.512492,612.876398
51952.504992,-518.144159,-9178.553681,306.438199
51952.505320,-370.102971,-9252.574275,689.485948
51952.505647,-296.082377,-9400.615463,536.266849
51952.505975,74.020594,-9252.574275,536.266849
51952.506303,-370.102971,-8808.450710,1072.533697
51952.506630,-370.102971,-9178.553681,536.266849
51952.506958,-518.144159,-9104.533087,766.095498
51952.507285,-370.102971,-8956.491898,536.266849
51952.507613,-296.082377,-9104.533087,76.609550
51952.507940,-296.082377,-8956.491898,842.705048
51952.508268,-296.082377,-9030.512492,536.266849
51952.508595,-370.102971,-9030.512492,383.047749
51952.508923,-222.061783,-9104.533087,536.266849
51952.509250,-296.082377,-8512.368333,766.095498
51952.509578,0.000000,-9104.533087,842.705048
51952.509906,-222.061783,-9326.594869,612.876398
51952.510233,-370.102971,-9178.553681,536.266849
51952.510561,-296.082377,-9252.574275,612.876398
51952.510888,-222.061783,-9178.553681,383.047749
51952.511216,-370.102971,-8734.430116,689.485948
51952.511543,-370.102971,-9252.574275,306.438199
51952.511871,-148.041188,-9178.553681,536.266849
51952.512198,0.000000,-9252.574275,536.266849
51952.512526,-222.061783,-9252.574275,459.657299
51952.512854,-148.041188,-9178.553681,306.438199
51952.513181,296.082377,-9474.636058,536.266849
51952.513509,-222.061783,-9104.533087,459.657299
51952.513836,-296.082377,-8808.450710,229.828649
51952.514164,-370.102971,-9178.553681,612.876398
51952.514491,-222.061783,-8808.450710,766.095498
51952.514819,-222.061783,-8808.450710,612.876398
