#time,accel_x,accel_y,accel_z
571.781889,-222.061783,-9178.553681,459.657299
571.782217,-148.041188,-9252.574275,612.876398
571.782545,-222.061783,-9030.512492,306.438199
571.782872,-148.041188,-9104.533087,383.047749
571.783200,-444.123565,-9178.553681,536.266849
571.783527,0.000000,-9178.553681,842.705048
571.783855,0.000000,-8882.471304,383.047749
571.784183,-222.061783,-9030.512492,459.657299
571.784510,-296.082377,-9104.533087,612.876398
571.784838,-370.102971,-9326.594869,536.266849
571.785166,-296.082377,-9400.615463,306.438199
571.785493,0.000000,-9030.512492,459.657299
571.785821,-222.061783,-8660.409521,536.266849
571.786149,0.000000,-9252.574275,383.047749
571.786476,-296.082377,-9326.594869,383.047749
571.786804,-518.144159,-9030.512492,612.876398
571.787131,0.000000,-8956.491898,1149.143247
571.787459,-296.082377,-9030.512492,536.266849
571.787787,-148.041188,-9104.533087,766.095498
571.788114,-444.123565,-9252.574275,612.876398
571.788442,-296.082377,-9326.594869,-153.219100
571.788770,-370.102971,-9030.512492,995.924147
571.789097,-296.082377,-9104.533087,459.657299
571.789425,-370.102971,-9326.594869,689.485948
571.789753,-296.082377,-9030.512492,689.485948
571.790080,-296.082377,-8956.491898,842.705048
571.790408,222.061783,-9474.636058,383.047749
571.790735,-444.123565,-9030.512492,842.705048
571.791063,-296.082377,-9104.533087,766.095498
571.791391,-296.082377,-9178.553681,689.485948
571.791718,-296.082377,-9178.553681,536.266849
571.792046,-222.061783,-9400.615463,536.266849
571.792374,-1110.308913,-9104.533087,76.609550
571.792701,-1110.308913,-9548.656652,0.000000
571.793029,-1332.370696,-9400.615463,-229.828649
571.793357,-962.267725,-9104.533087,-459.657299
571.793684,-592.164754,-9030.512492,0.000000
571.794012,-444.123565,-9104.533087,-306.438199
571.794339,-962.267725,-9252.574275,-689.485948
571.794667,-1258.350101,-9474.636058,-995.924147
571.794995,-1554.432478,-9326.594869,-1072.533697
571.795322,-962.267725,-9030.512492,-995.924147
571.795650,-592.164754,-9030.512492,-1685.410096
571.795978,-518.144159,-9326.594869,-1378.971896
571.796305,-370.102971,-9252.574275,-1378.971896
571.796633,0.000000,-9030.512492,-1149.143247
571.796961,0.000000,-8956.491898,-1225.752797
571.797288,0.000000,-8956.491898,-1685.410096
571.797616,0.000000,-9252.574275,-1302.362347
571.797943,222.061783,-9474.636058,-1685.410096
571.798271,222.061783,-9252.574275,-1685.410096
571.798599,370.102971,-9178.553681,-1838.629195
571.798926,740.205942,-9400.615463,-1149.143247
571.799254,0.000000,-9178.553681,-1608.800546
571.799582,370.102971,-9252.574275,-1915.238745
571.799909,370.102971,-9400.615463,-2068.457845
571.800237,74.020594,-9474.636058,-1915.238745
571.800565,222.061783,-9400.615463,-1762.019645
571.800892,592.164754,-9326.594869,-2145.067394
571.801220,148.041188,-8956.491898,-1838.629195
571.801548,0.000000,-9252.574275,-1608.800546
571.801875,-518.144159,-9326.594869,-1685.410096
571.802203,-592.164754,-8956.491898,-1608.800546
571.802530,-296.082377,-9474.636058,-2221.676944
571.802858,-1184.329507,-9030.512492,-2221.676944
571.803186,-1258.350101,-9104.533087,-2298.286494
571.803513,-1480.411884,-9252.574275,-2374.896044
571.803841,-1480.411884,-9104.533087,-2604.724693
571.804169,-1406.391290,-9252.574275,-2604.724693
571.804496,-2368.659014,-9030.512492,-3140.991542
571.804824,-2294.638420,-9030.512492,-3524.039291
571.805152,-2220.617826,-8882.471304,-3830.477490
571.805479,-1776.494261,-9030.512492,-3983.696590
571.805807,-1850.514855,-8364.327145,-3294.210641
571.806134,-1184.329507,-8364.327145,-3753.867940
571.806462,-888.247130,-8808.450710,-3983.696590
571.806790,-592.164754,-8882.471304,-3600.648841
571.807117,148.041188,-9030.512492,-3370.820191
571.807445,444.123565,-8438.347739,-2681.334243
571.807773,1776.494261,-8808.450710,-2911.162892
571.808100,1924.535449,-9030.512492,-2374.896044
571.808428,2146.597232,-9326.594869,-1838.629195
571.808756,1850.514855,-9548.656652,-1915.238745
571.809083,1480.411884,-10140.821405,-1838.629195
571.809411,148.041188,-9548.656652,-2911.162892
571.809738,-592.164754,-10214.842000,-3294.210641
571.810066,-1554.432478,-10510.924376,-3983.696590
571.810394,-2072.576638,-10436.903782,-4673.182538
571.810721,-1850.514855,-9474.636058,-4979.620737
571.811049,-592.164754,-8808.450710,-4596.572988
571.811377,518.144159,-7624.121203,-4060.306139
571.811704,1998.556043,-7254.018232,-3753.867940
571.812032,2738.761985,-7031.956449,-2757.943793
571.812360,3108.864956,-7550.100608,-2298.286494
571.812687,1850.514855,-8660.409521,-1685.410096
571.813015,0.000000,-9400.615463,-2068.457845
571.813342,-2146.597232,-10436.903782,-1991.848295
571.813670,-3330.926739,-11251.130318,-2374.896044
571.813998,-3627.009116,-11029.068536,-2834.553343
571.814325,-2516.700203,-10066.800811,-2528.115143
571.814653,-666.185348,-8586.388927,-2145.067394
571.814981,1998.556043,-7698.141797,-1455.581446
571.815308,6069.688724,-6069.688724,0.000000
571.815636,9844.739029,-4811.338623,2221.676944
571.815964,11251.130318,-5329.482782,4213.525239
571.816291,8586.388927,-7476.080014,4903.011187
571.816619,2368.659014,-11621.233289,3830.477490
571.816946,-4737.318029,-13841.851115,2145.067394
571.817274,-9474.636058,-14804.118840,229.828649
571.817602,-11769.274478,-14508.036463,-1302.362347
571.817929,-10807.006753,-13027.624579,-1915.238745
571.818257,-8438.347739,-10807.006753,-1991.848295
